idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000008160,True,Publicado en revista especializada,Guía de Implementación HL7 para Sistemas de Notificación Obligatoria en Salud Pública en Colombia,Colombia,Sistemas &amp; Telemática,1692-5238,2009,7,14,13 - 32,,"RICARDO AGUILAR BOLANOS, DIEGO MAURICIO LOPEZ GUTIERREZ"
00000000008160,True,Publicado en revista especializada,Enriquecimiento Semántico de Contenidos en Redes Sociales basado en Ontologías y Vocabularios de Dominio,Brasil,Cadernos De Informática,1519-132X,2009,4,2,19 - 26,,"DIEGO MAURICIO LOPEZ GUTIERREZ, EDWIN CALDON PIZO"
00000000008160,True,Publicado en revista especializada,Análisis del protocolo DOCSIS para la distribución de aplicaciones y contenidos de TDi en una HFC,Colombia,Avances En Sistemas E Informática,1657-7663,2009,6,3,119 - 132,id=133112611011,"JOSE LUIS ARCINIEGAS HERRERA, WILMAR YESID CAMPO MUNOZ, DIEGO RUEDA, IVAN TAIMAL"
00000000008160,True,Publicado en revista especializada,Analyzing Convergence in e-Learning Resource Filtering Based on ACO Techniques: A Case Study With Telecommunication Engineering Students,Estados Unidos,IEEE Transactions on Education,0018-9359,2009,99,N/A,1 -,,"MARIO MUNOZ ORGANERO, GUSTAVO ADOLFO RAMIREZ GONZALEZ, CARLOS DELGADO KLOOS, PEDRO MUNOZ MERINO"
00000000008160,True,Publicado en revista especializada,SDR: Radio definido por software,Colombia,Revista Colombia De Telecomunicaciones (Rct),0122-7416,2009,16,54,106 - 114,,"FRANCISCO ORLANDO MARTINEZ PABON, EVA JULIANA MAYA ORTIZ"
00000000008160,True,Corto (Resumen),PLATAFORMA DE ENTREGA DE SERVICIOS DE MONITOREO CLIMÁTICO BAJO UNA PERSPECTIVA DE ARQUITECTURA BASADA EN SERVICIOS,Colombia,Revista De La Asociación Colombiana De Ciencias Biológicas,0120-4173,2009,21,N/A,152 - 154,,"APOLINAR FIGUEROA, JUAN CARLOS CORRALES MUNOZ, SILVIO ANDRES ORDONEZ, SAMIR C JOAQUI DAZA, MONICA PATRICIA VALENCIA ROJAS"
00000000008160,True,Publicado en revista especializada,Proceso de requerimiento y análisis para la definición de la arquitectura desde la perspectiva de usabilidad para el desarrollo de aplicaciones en la Web,Colombia,Avances En Sistemas E Informática,1657-7663,2009,6,N/A,205 - 210,,"JOSE LUIS ARCINIEGAS HERRERA, CESAR ALBERTO COLLAZOS, VERONICA FERNANDEZ, FERNANDO URBANO"
00000000008160,False,Publicado en revista especializada,Guía de Implementación HL7 para la Interoperabilidad entre Sistemas de Información en Salud Pública y Sistemas de Información Clínicos (En evaluación).,Colombia,Sistemas &amp; Telemática,1692-5238,2009,N/A,N/A,N/A -,,"RICARDO ADOLFO AGUILAR BOLANOS, DIEGO MAURICIO LOPEZ GUTIERREZ"
00000000008160,True,Publicado en revista especializada,Evaluación de la Televisión interactiva desde una perspectiva de usabilidad: caso práctico,Colombia,Ciencia E Ingeniería Neogranadina,0124-8170,2009,19,1,99 - 106,id=91113004006,"JOSE LUIS ARCINIEGAS HERRERA, CESAR ALBERTO COLLAZOS"
00000000008160,True,Publicado en revista especializada,Middleware de Seguridad para el Interworking WLAN-IMS,Colombia,Revista Facultad de Ingenieria,0120-6230,2009,N/A,N/A,193 - 202,,"EDGAR ORLANDO DE LA CRUZ ESPARZA, GEOVANNI TAIMAL NARVAEZ, OSCAR MAURICIO CAICEDO RENDON"
00000000008160,True,Publicado en revista especializada,Arquitectura de gestión de redes para entornos heterogéneos y su aplicación a las redes EHAS,Brasil,Latin American Journal Of Telehealth,1984-9745,2009,1,1,129 - 142,,"EMIGDIO ANDRES LARA SILVA, EVA JULIANA MAYA ORTIZ, ARNAU SANCHEZ"
00000000008160,True,Publicado en revista especializada,Enhanced Semantic Interoperability by Profiling Health Informatics Standards,Alemania,Methods of Information in Medicine,0026-1270,2009,48,2,170 - 177,,"BERND BLOBEL, DIEGO MAURICIO LOPEZ GUTIERREZ"
00000000008160,True,Publicado en revista especializada,A Development Framework for Semantically Interoperable Health Information Systems,Países Bajos,International Journal of Medical Informatics,1386-5056,2009,78,2,83 - 103,,"DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL"
