nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
Oscar Eduardo Prado Ramírez,Prado Ramírez O.,57224065245,9-s2.0-57224065245,,1,2021-06-04,9,9,1,2,new,Computer Networks and Communications;Control and Systems Engineering;Signal Processing,2017-2017,Universidad del Cauca,60051434,No Aplica,,,
María A. Sánchez,Sánchez M.,57193762469,9-s2.0-57193762469,,1,2017-04-06,9,9,1,7,update,"Ecology, Evolution, Behavior and Systematics",2017-2017,Fundación Universitaria de Popayán,118671346,Faculty of Ecology,,,
Camilo Narváez,Narváez C.,57219200666,9-s2.0-57219200666,,1,2020-10-02,9,9,1,4,new,Information Systems and Management;Artificial Intelligence;Software;Management Information Systems,2020-2020,Universidad del Cauca,112027538,Department of Computer Science,,,
Joanna Capote,Capote J.,36010271600,9-s2.0-36010271600,,1,2010-05-21,9,9,1,3,new,Engineering (all),2009-2009,Universidad del Cauca,108584377,Grupo de investigación y desarrollo en ingeniería de Software,,,
Isabel Del Socorro Bravo Realpe,Realpe I.,56175298600,9-s2.0-56175298600,,1,2014-06-05,9,9,1,2,update,Soil Science;Agronomy and Crop Science,2014-2014,Universidad del Cauca,104717528,Department of Chemistry,,,
Erwin Alegría,Alegría E.,56565022700,9-s2.0-56565022700,,1,2015-03-29,8,8,1,4,update,Management Information Systems;Developmental and Educational Psychology;Information Systems and Management;Arts and Humanities (miscellaneous);Information Systems,2015-2015,Universidad del Cauca,114186199,Sector Tulcán Office 450,,,
Jorge Iván Puerta-Guarín,Puerta-Guarín J.,57201113355,9-s2.0-57201113355,,1,2018-03-16,8,8,1,4,update,"Radiology, Nuclear Medicine and Imaging;Internal Medicine",2018-2018,Universidad del Cauca,109510232,Department of Anesthesiology,,,
José Fernando Grass,Grass J.,57219667489,9-s2.0-57219667489,,1,2020-11-04,8,8,1,3,update,Business and International Management;Management Science and Operations Research;Management of Technology and Innovation;Strategy and Management;Computer Science Applications,2023-2023,Universidad del Cauca,125290915,Research Group for Rural Development,,,
José Armando Ordóñez-Córdoba,Ordóñez-Córdoba J.,57200117854,9-s2.0-57200117854,,1,2018-01-05,8,8,1,2,new,Law,2017-2017,Universidad del Cauca,60051434,No Aplica,,,
M. L. Burbano-Garcés,Burbano-Garcés M.,56419952000,9-s2.0-56419952000,,1,2014-11-28,8,8,1,2,update,Forestry,2014-2014,Universidad del Cauca,60051434,No Aplica,,,
Darío Ordoñez,Ordoñez D.,57215715864,9-s2.0-57215715864,,1,2020-03-22,8,8,1,5,update,Medicine (all);Biochemistry;Clinical Biochemistry,2020-2020,Universidad del Cauca,113272975,Clinical Epidemiology Unit,,,
Wilson Alfredo Ortega-Ordoñez,Ortega-Ordoñez W.,57211585963,9-s2.0-57211585963,,1,2019-11-09,8,8,1,2,new,Engineering (all),2019-2019,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
J. E. Montenegro,Montenegro J.,57211079021,9-s2.0-57211079021,,1,2019-09-27,8,8,1,2,new,"Process Chemistry and Technology;Ceramics and Composites;Surfaces, Coatings and Films;Materials Chemistry;Electronic, Optical and Magnetic Materials",2019-2019,Universidad del Cauca,104717527,Department of Physics,,,
Lucy Daza Gómez,Gómez L.,57204838135,9-s2.0-57204838135,,1,2018-12-05,8,8,1,1,new,"Materials Science (all);Physical and Theoretical Chemistry;Condensed Matter Physics;Atomic and Molecular Physics, and Optics",2019-2019,Universidad del Cauca,104717528,Department of Chemistry,,,
Gabriela Luna,Luna G.,36133637700,9-s2.0-36133637700,,1,2010-06-29,8,8,1,2,update,Engineering (all),2009-2009,Universidad del Cauca,60051434,No Aplica,,,
Carlos Daza,Daza C.,57518082900,9-s2.0-57518082900,,1,2022-03-25,8,8,1,6,new,Theoretical Computer Science;Computer Science (all),2016-2016,Universidad del Cauca,60051434,No Aplica,,,
Claudia Marcela Rojas-Camejo,Rojas-Camejo C.,57201117683,9-s2.0-57201117683,,1,2018-03-16,8,8,1,4,update,"Internal Medicine;Radiology, Nuclear Medicine and Imaging",2018-2018,Universidad del Cauca,109510232,Department of Anesthesiology,,,
D. Ramos,Ramos D.,57196543365,9-s2.0-57196543365,,1,2017-11-17,8,8,1,4,new,Software;Mathematics (all);Computer Science Applications;Control and Systems Engineering,2015-2015,Universidad del Cauca,60051434,No Aplica,,,
Manuel Maca,Maca M.,56565499000,9-s2.0-56565499000,,1,2015-03-29,8,8,1,4,update,Information Systems and Management;Developmental and Educational Psychology;Management Information Systems;Information Systems;Arts and Humanities (miscellaneous),2015-2015,Universidad del Cauca,114186199,Sector Tulcán Office 450,,,
Cristhian Martínez,Martínez C.,57211285329,9-s2.0-57211285329,,1,2019-10-19,8,8,1,6,new,Computer Science (all);Theoretical Computer Science,2016-2016,Universidad del Cauca,60051434,No Aplica,,,
Carlos Augusto Martínez-Mamian,Martínez-Mamian C.,57218900716,9-s2.0-57218900716,,1,2020-09-16,7,7,1,2,new,Engineering (all),2020-2020,Universidad del Cauca,125104588,Grupo de Investigación Nutrición Agropecuaria,,,
Sergio Andrés Lozano,Lozano S.,57218126970,9-s2.0-57218126970,,1,2020-07-21,7,7,1,3,new,Business and International Management;Management of Technology and Innovation,2020-2020,Corporación Universitaria Comfacauca,119181814,No Aplica,,,
Ingrid Reyes,Reyes I.,55634063400,9-s2.0-55634063400,,1,2013-04-05,7,7,1,12,update,History;Anthropology;Cultural Studies;Archeology (arts and humanities),2012-2012,Universidad del Cauca,104717530,Department of Biology,,,
E. J A Campo,Campo E.,35098206800,9-s2.0-35098206800,,1,2009-11-03,7,7,1,4,new,Ceramics and Composites,2009-2009,Universidad del Cauca,104717527,Department of Physics,,,
Camilo Palacios,Palacios C.,57197074257,9-s2.0-57197074257,,1,2017-11-19,7,7,1,5,new,Computer Networks and Communications;Education,2012-2012,Universidad del Cauca,104717552,Departamento de Telemática,,,
Omar Sotelo-Torres,Sotelo-Torres O.,55373096500,9-s2.0-55373096500,,1,2012-10-10,7,7,1,5,update,Education;Computer Networks and Communications,2012-2012,Universidad del Cauca,104717552,Departamento de Telemática,,,
John Felipe Ramírez,Ramírez J.,56677216400,9-s2.0-56677216400,,1,2015-06-18,7,7,1,3,update,"Sociology and Political Science;Political Science and International Relations;Geography, Planning and Development",2014-2014,Fundación Universitaria de Popayán,60108709,No Aplica,,,
Luisa F. Escobar,Escobar L.,55635046900,9-s2.0-55635046900,,1,2013-04-05,7,7,1,12,update,Cultural Studies;Archeology (arts and humanities);History;Anthropology,2012-2012,Universidad del Cauca;Stony Brook University,104717530;104339310,Department of Biology;Departments of Pharmacological Sciences and Chemistry,,,
Emilce Beltrán,Beltrán E.,57243041400,9-s2.0-57243041400,,1,2021-09-07,7,7,1,6,update,"Obstetrics and Gynecology;Pediatrics, Perinatology and Child Health",2021-2021,Hospital Susana López de Valencia,126818404,Servicio de Pediatría,,,
L. A. Ortega,Ortega L.,57209417758,9-s2.0-57209417758,,1,2019-06-28,7,7,1,11,new,"Development;Renewable Energy, Sustainability and the Environment;Agronomy and Crop Science",2019-2019,Fundación Ecohabitats,101726347,No Aplica,,,
Darío Erazo-Bucheli,Erazo-Bucheli D.,36141806900,9-s2.0-36141806900,,1,2010-07-05,7,7,1,2,update,Obstetrics and Gynecology,2009-2009,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
C. E. Camayo,Camayo C.,57221851694,9-s2.0-57221851694,,1,2021-02-10,7,7,1,2,new,"Condensed Matter Physics;Electronic, Optical and Magnetic Materials",2021-2021,Universidad del Cauca,123599451,Ceramic Materials Science and Technology Group (CYTEMAC),,,
Manuelita Ortiz,Ortiz M.,57196488334,9-s2.0-57196488334,,1,2017-11-17,7,7,1,2,update,Obstetrics and Gynecology,2009-2009,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Yilton Riascos,Riascos Y.,57396105300,9-s2.0-57396105300,,1,2022-01-09,7,7,1,7,update,Surgery;Biomedical Engineering;Biotechnology;Health Informatics,2021-2021,Universidad del Cauca,104717531,Department of Mathematics,,,
Bernardo Ramiro Ramírez-Padilla,Ramírez-Padilla B.,57220786728,9-s2.0-57220786728,,1,2020-12-19,7,7,1,4,new,Nature and Landscape Conservation,2020-2020,Universidad del Cauca,125537966,Grupo de Estudios sobre Diversidad Vegetal Sachawaira,,,
L. F E Reyes-Carvajal,Reyes-Carvajal L.,55839342900,9-s2.0-55839342900,,1,2013-09-08,7,7,1,9,update,Genetics (clinical);Genetics,2013-2013,Universidad del Cauca,104717530,Department of Biology,,,
L. Paz,Paz L.,57209410704,9-s2.0-57209410704,,1,2019-06-28,7,7,1,11,new,"Renewable Energy, Sustainability and the Environment;Agronomy and Crop Science;Development",2019-2019,Fundación Ecohabitats,101726347,No Aplica,,,
Leonora Orejuela Aristizabal,Aristizabal L.,14067095100,9-s2.0-14067095100,,1,2006-08-26,7,7,1,2,update,"Public Health, Environmental and Occupational Health",2006-2006,Universidad del Cauca,104717542,Departamento de Ciencias Fisiológicas,,,
Jhoana Sandoval-Serna,Sandoval-Serna J.,57396315800,9-s2.0-57396315800,,1,2022-01-09,7,7,1,7,update,Biotechnology;Biomedical Engineering;Surgery;Health Informatics,2021-2021,Universidad del Cauca,117691942,Facultad de Ciencias Contables,,,
Catalina Córdoba-Paladinez,Córdoba-Paladinez C.,55371857800,9-s2.0-55371857800,,1,2012-10-10,7,7,1,5,update,Computer Networks and Communications;Education,2012-2012,Universidad del Cauca,104717552,Departamento de Telemática,,,
Viviana Moreno-Quintero,Moreno-Quintero V.,23993967500,9-s2.0-23993967500,,1,2008-04-15,7,7,1,2,update,Animal Science and Zoology,2008-2008,Universidad del Cauca,60051434,No Aplica,,,
Guillermo Andrés Fuentes Barrera,Fuentes Barrera G.,57374228200,9-s2.0-57374228200,,1,2021-12-21,6,6,1,3,new,Multidisciplinary,2021-2021,Universidad Tecnológica de Pereira;Universidad del Cauca,106226160;60051434,Faculty of Environmental Sciences; ,,,
Rubiel Meneses,Meneses R.,15122879200,9-s2.0-15122879200,,1,2006-12-13,6,6,1,7,update,Medicine (all),2006-2006,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Néstor I. Liz-Andela,Liz-Andela N.,57192693230,9-s2.0-57192693230,,1,2017-01-07,6,6,1,3,update,Polymers and Plastics,2017-2017,Universidad del Cauca,104717528,Department of Chemistry,,,
Gabriel E. Chan-Chí,Chan-Chí G.,57195566028,9-s2.0-57195566028,,1,2017-09-12,6,6,1,3,new,Computer Science (all);Mathematics (all),2017-2017,Institución Universitaria Colegio Mayor del Cauca,113372863,No Aplica,,,
Sulma Muñoz,Muñoz S.,8455100700,9-s2.0-8455100700,,1,2005-12-02,6,6,1,2,update,,2004-2004,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Luis Javier Suares,Suares L.,57195536820,9-s2.0-57195536820,,1,2017-09-08,6,6,1,6,new,Computer Science (all),2017-2017,Bit Bang Company,119159252,No Aplica,,,
Sara Lucía Mosquera-Monje,Mosquera-Monje S.,57194048741,9-s2.0-57194048741,,1,2017-05-15,6,6,1,4,new,Medicine (all),2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Maria Alejandra Gonzales Barrera,Gonzales Barrera M.,57191951382,9-s2.0-57191951382,,1,2016-11-23,6,6,1,5,update,Psychiatry and Mental Health,2016-2016,Universidad del Cauca,60051434,No Aplica,,,
Marlon Manuel Cuetocue Petins,Petins M.,57226687553,9-s2.0-57226687553,,1,2021-08-18,6,6,1,3,new,Waste Management and Disposal;Chemical Engineering (miscellaneous);Process Chemistry and Technology;Pollution,2021-2021,Universidad del Cauca,60051434,No Aplica,,,
Astrid Soraya Parra-Polanco,Parra-Polanco A.,57552914300,9-s2.0-57552914300,,1,2022-04-07,6,6,1,4,new,"Ecology;Global and Planetary Change;Food Science;Agronomy and Crop Science;Management, Monitoring, Policy and Law;Horticulture",2022-2022,Universidad del Cauca,104717562,Departamento de Agroindustria,,,
Pablo Esteban Calvache-Lopez,Calvache-Lopez P.,57195531180,9-s2.0-57195531180,,1,2017-09-08,6,6,1,6,new,Computer Science (all),2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Catalina Mosquera,Mosquera C.,15132654600,9-s2.0-15132654600,,1,2006-12-19,6,6,1,7,update,Medicine (all),2006-2006,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
L. G. Cruz,Cruz L.,57541896100,9-s2.0-57541896100,,1,2022-03-30,6,6,1,4,new,Earth and Planetary Sciences (miscellaneous);Geotechnical Engineering and Engineering Geology,2019-2019,Universidad del Cauca,60051434,No Aplica,,,
Johanna Andrea Hurtado Sánchez,Sánchez J.,57576744400,9-s2.0-57576744400,,1,2022-04-21,6,6,1,2,new,"Electrical and Electronic Engineering;Atomic and Molecular Physics, and Optics;Biochemistry;Analytical Chemistry;Instrumentation;Information Systems",2022-2022,Universidad del Cauca,104717552,Departamento de Telemática,,,
Katherine Casilimas,Casilimas K.,57575465200,9-s2.0-57575465200,,1,2022-04-21,6,6,1,2,update,"Instrumentation;Information Systems;Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering;Biochemistry;Analytical Chemistry",2022-2022,Universidad del Cauca,104717552,Departamento de Telemática,,,
Dario Fernando Chamorro-Vela,Chamorro-Vela D.,57195538106,9-s2.0-57195538106,,1,2017-09-08,6,6,1,6,new,Computer Science (all),2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Nestor Felipe Muñoz Fernandez,Muñoz Fernandez N.,57191951825,9-s2.0-57191951825,,1,2016-11-23,6,6,1,5,update,Psychiatry and Mental Health,2016-2016,Universidad del Cauca,60051434,No Aplica,,,
Ingrid Salas,Salas I.,57190168802,9-s2.0-57190168802,,1,2016-07-19,6,6,1,7,new,Medicine (all),2006-2006,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Efrain Alirio Rojas Galvis,Galvis E.,57223859759,9-s2.0-57223859759,,1,2021-05-30,6,6,1,2,new,"Orthopedics and Sports Medicine;Education;Physical Therapy, Sports Therapy and Rehabilitation",2021-2021,Universidad del Cauca,60051434,No Aplica,,,
Gloria Daza,Daza G.,57203113277,9-s2.0-57203113277,,1,2018-07-31,6,6,1,7,new,Computer Science (all);Theoretical Computer Science,2018-2018,Universidad del Cauca,105194737,IDIS Research Group,,,
Leydy Muñoz,Muñoz L.,57225439033,9-s2.0-57225439033,,1,2021-07-16,6,6,1,4,new,Computer Science (all);Theoretical Computer Science,2012-2012,Universidad del Cauca,112027538,Department of Computer Science,,,
Yohana Daisury Meneses Valdés,Meneses Valdés Y.,57191951822,9-s2.0-57191951822,,1,2016-11-23,6,6,1,5,update,Psychiatry and Mental Health,2016-2016,Universidad del Cauca,60051434,No Aplica,,,
Jannet Rodríguez-Argote,Rodríguez-Argote J.,25930075000,9-s2.0-25930075000,,1,2009-01-10,6,6,1,4,update,,2008-2008,Universidad del Cauca,104717542,Departamento de Ciencias Fisiológicas,,,
Liz Betty Garcíad,Garcíad L.,8455100800,9-s2.0-8455100800,,1,2005-12-02,6,6,1,2,update,,2004-2004,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Martha Liliana Ortega Alegría,Alegría M.,54779392600,9-s2.0-54779392600,,1,2011-12-29,6,6,1,3,update,"Public Health, Environmental and Occupational Health",2011-2011,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Juan C. Casas,Casas J.,57191628289,9-s2.0-57191628289,,1,2016-10-29,6,6,1,3,update,Energy Engineering and Power Technology;Chemical Engineering (all);Fuel Technology,2016-2016,Universidad del Cauca,117565105,Department of Environmental and Sanitary Engineering,,,
Mario Gironza,Gironza M.,57202889827,9-s2.0-57202889827,,1,2018-07-16,6,6,1,3,update,Computer Science (all);Materials Science (all);Engineering (all),2018-2018,Universidad del Cauca;Universidade Estadual de Campinas,104717554;121075365,Telematics Department;Instituto de Computaço,,,
Raquel Amalia Velez Tobar,Tobar R.,57223860132,9-s2.0-57223860132,,1,2021-05-30,6,6,1,2,new,"Orthopedics and Sports Medicine;Physical Therapy, Sports Therapy and Rehabilitation;Education",2021-2021,Universidad del Cauca,60051434,No Aplica,,,
Diana Marcela Ruiz,Ruiz D.,57195275854,9-s2.0-57195275854,0000-0001-8541-7216,1,2017-08-10,5,5,1,3,update,Waste Management and Disposal;Pollution,2017-2017,Universidad del Cauca,60051434,No Aplica,00000000008159,Grupo de Estudios Ambientales,0001359696
Cristian Anacona,Anacona C.,57204001004,9-s2.0-57204001004,,1,2018-10-03,5,5,1,3,update,Infectious Diseases;Microbiology,2018-2018,Universidad del Cauca,121398467,Centro de Estudios en Microbiología y Parasitología CEMPA,,,
Ayda Marcela Erazo Arcos,Erazo Arcos A.,57204283292,9-s2.0-57204283292,0000-0003-1742-8890,1,2018-10-25,5,5,1,4,update,"Public Health, Environmental and Occupational Health;Toxicology;Epidemiology;Pollution",2019-2019,Universidad del Cauca,60051434,No Aplica,,,
Stephany Arias Linthon,Arias Linthon S.,57200089644,9-s2.0-57200089644,,1,2018-01-02,5,5,1,5,update,Psychiatry and Mental Health,2019-2019,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Tatiana Cardona-Narváez,Cardona-Narváez T.,57207685055,9-s2.0-57207685055,,1,2019-03-14,5,5,1,5,new,Medicine (all),2018-2018,Universidad del Cauca,104717535,Department of Obstetrics and Gynecology,,,
Carolina Gonzáles,Gonzáles C.,57206142836,9-s2.0-57206142836,,1,2019-02-21,5,5,1,3,new,Biomedical Engineering;Health Information Management;Health Informatics,2010-2010,Universidad del Cauca;Klinikum der Universität Regensburg und Medizinische Fakultät,106022286;105511040,Software Engineering Research Group;eHealth Competence Center,,,
Esteban David Portilla,Portilla E.,57207691441,9-s2.0-57207691441,,1,2019-03-14,5,5,1,5,new,Medicine (all),2018-2018,Universidad del Cauca,104717535,Department of Obstetrics and Gynecology,,,
Carmen J. Valencia-Payán,Valencia-Payán C.,57216803199,9-s2.0-57216803199,,1,2020-05-21,5,5,1,3,update,Anesthesiology and Pain Medicine,2020-2020,Universidad del Cauca,109510232,Department of Anesthesiology,,,
Jaime Salazar,Salazar J.,14025974200,9-s2.0-14025974200,,1,2006-08-07,5,5,1,7,update,,2005-2005,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Betsy M. Ledezma,Ledezma B.,57202157889,9-s2.0-57202157889,0000-0003-1805-3461,1,2018-05-29,5,5,1,3,update,"Public Health, Environmental and Occupational Health",2017-2017,Universidad del Cauca,104717551,Departamento de Fisioterapia,00000000001995,MOVIMIENTO CORPORAL HUMANO Y CALIDAD DE VIDA,0000012692
Luis Miguel Muñoz-Gómez,Muñoz-Gómez L.,57209731615,9-s2.0-57209731615,0000-0002-4332-5222,1,2019-07-12,5,5,1,3,update,Drug Discovery;Pharmacology,2019-2019,Universidad del Cauca,110043908,Exactas y de la Educación,,,
