idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,autores
00000000010829,True,Revista de divulgación,Identificación y valoración de impactos sobre la flora por la implementación de pequeñas centrales hidroeléctricas (Sonsón-Antioquia),Colombia,"Journal Of Engineering And Technology, Facultad De Ingenierías - Corporación Universitaria Lasallista.",2256-3903,2013,2,,68 - 81,"JORGE LUIS MONTEALEGRE TORRES, LUZ BIBIANA MOSCOSO MARIN"
00000000010829,True,Revista de divulgación,"Generación de abonos orgánicos a base de residuos de fincas truchícolas en el municipio de Silvia, Cauca, Colombia",Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2018,8,,46 - 63,"DANIEL ANDRES FERIZ GARCIA, MARLEN MILENA CALVACHE REVELO, HERNAN DARIO ANACONA IDROBO"
00000000010829,True,Revista de divulgación,Dinámicas socioeconómicas en sistemas cafeteros del centro-suroccidente Colombiano,Colombia,Sabia. Revista Científica,2323-0576,2019,5,1,72 - 83,"JEYMMY MILENA WALTEROS RODRIGUEZ, CARLOS ANDRES DURAN ENRIQUEZ"
00000000010829,True,Revista de divulgación,"TABLA DE VIDA Erycina pusilla (L.) N.H.Williams & M.W.Chase FINCA EL LIMONAR, VEREDA CLARETE, POPAYÁN CAUCA",Colombia,Boletín del Posgrado en Ciencias- Biología,2463-0160,2019,5,,48 - 56,"NHORA HELENA OSPINA CALDERON, LUIS GERARDO CHILITO LOPEZ"
00000000010829,True,Revista de divulgación,"INFLUENCIA DE COBERTURAS PLÀSTICAS DE COLORES SOBRE EL DESARROLLO DE LA ESPECIE Coffea arabica, EN LA SEDE LOS ROBLES DE LA FUNDACIÓN UNIVERSITARIA DE POPAYÁN, TIMBÍO-CAUCA",Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2019,9,N.A,102 - 115,DANIEL ANDRES FERIZ GARCIA
00000000010829,True,Revista de divulgación,Uso de herramientas de sistemas de información geográfica para establecer la zonificación ecológicas de las unidades de Paisaje en un sector del municipio de Timbío-Cauca,Colombia,Novedades Colombianas,2145-5236,2020,15,1,47 - 69,JULIETH ALEXANDRA CHACON PAJA
00000000010829,True,Revista de divulgación,"Diversidad de aves del jardín botánico de Popayan, en la Fundación universitaria de Popayan",Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2020,10,,8 - 27,"JULIETH ALEXANDRA CHACON PAJA, LUIS GERARDO CHILITO LOPEZ, DANIEL ANDRES FERIZ GARCIA, JESUS RAMIRO VARGAS TELLO"
00000000010829,True,Revista de divulgación,"Implementación de un sistema de humedal artificial de flujo subsuperficial horizontal para la fitorremediación de aguas mieles de café, en la finca La Clanera, vereda La Chorrera del municipio de Timbío, Cauca.",Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2021,11,,49 - 63,DANIEL ANDRES FERIZ GARCIA
00000000012823,True,Revista de divulgación,"Factores socio-económicos incidentes en los niveles educativos, departamento del Cauca en 2011",Colombia,Perspectivas,2011-7345,2015,7,,107 - 115,"LUIS FELIPE JIMENEZ CHAVES, CLAUDIA LICETH FAJARDO HOYOS"
00000000012823,True,Revista de divulgación,Caracterización de la población ciclista de la ciudad de Popayán,Colombia,Papeles De Coyuntura,1900-0324,2019,46,,264 - 303,CLAUDIA LICETH FAJARDO HOYOS
